Breaks;Date;Time;Shoes_Type1;Shoes_Type2;Shoes_Type3
Open;09/02/2022;17:05:36;0;0;0
;09/02/2022;17:06:43;5;0;0
Close;09/02/2022;17:07:19;5;0;0
Open;09/02/2022;17:18:48;0;0;0
Close;09/02/2022;17:25:08;0;0;0
Open;09/02/2022;17:25:28;0;0;0
;09/02/2022;17:26:32;0;0;5
;09/02/2022;17:26:58;0;0;0
;09/02/2022;17:27:53;0;6;0
;09/02/2022;17:28:21;0;0;0
;09/02/2022;17:29:38;0;0;7
;09/02/2022;17:30:01;0;0;0
;09/02/2022;17:30:26;2;0;0
Close;09/02/2022;17:33:02;2;0;0
Open;09/02/2022;17:36:20;0;0;0
;09/02/2022;17:36:30;3;0;0
;09/02/2022;17:36:42;0;0;0
;09/02/2022;17:37:03;3;0;0
